data,headline
[2020-02-28], 关于花都区近期拟出让地块 相关信息的公告 
[2020-02-28], 关于依法科学精准做好新冠肺炎疫情防控工作的通知 
[2020-02-27], 广州市花都区地籍测量队关于聘请固定资产报废处理服务单位结果的公告 
[2020-02-26], 广州市花都区空港经济管理委员会关于遴选广州白云国际机场三期扩建工程花 ... 
[2020-02-14], 广州市规划和自然资源局花都区分局关于公布实施《花都区炭步镇藏书院村村 ... 
[2020-02-13], 关于广州市花都区2018和2019年度优秀文艺作品创作奖励、扶持申报 ... 
[2020-02-10], 广州市花都区地籍测量队关于聘请服务公司处理20191223期报废固定 ... 
[2020-01-23], 关于聘请2020年花都区松材线虫病、薇甘菊防治项目作业设计服务单位的 ... 
[2020-01-20], 广州市花都区土地开发储备中心专项审计服务的询价公告 
[2020-01-16], 广州市规划和自然资源局花都区分局关于聘请竣工测量服务公司摇珠结果公告 
[2020-01-10], 广州市规划和自然资源局花都区分局关于聘请易新服饰及新华百货地块拆除及 ... 
[2017-11-01], 广州市花都区国土资源和规划局关于增补绍经家塾为花都区第一批传统风貌建 ... 
[2017-08-02], 广州市花都区国土资源和规划局关于公布花都区第一批传统风貌建筑的通知 
[2023-12-07], 广州市规划和自然资源局花都区分局关于《广州市花都区预留城乡建设用地规 ... 
[2023-11-30], 广州市规划和自然资源局花都区分局关于公布实施《中国传统村落花都区花东 ... 
[2023-11-27], 广州市规划和自然资源局花都区分局关于《广州市花都区预留城乡建设用地规 ... 
[2023-11-27], 广州市规划和自然资源局花都区分局关于《广州市花都区预留城乡建设用地规 ... 
[2023-11-13], 飞鹅岭东地块征收土地社会稳定风险评估报告编制服务询价公告 
[2023-10-27], 广州市规划和自然资源局花都区分局关于《广州市花都区预留城乡建设用地规 ... 
[2023-10-23], 国务院拟于11月组织开展2023年度国务院推动高质量发展综合督查 
[2023-10-18], 三东村（含罗仙村八经济合作社）旧村全面改造项目社会稳定风险评估公众参 ... 
[2023-09-28], 闲置土地信息公示 
[2023-09-26], 广州市规划和自然资源局花都区分局关于组织《重新公布广州市花都区征收农 ... 
[2023-09-22], 广州市规划和自然资源局花都区分局关于《广州市花都区预留城乡建设用地规 ... 
[2023-09-21], 广州市规划和自然资源局花都区分局关于《广州市花都区预留城乡建设用地规 ... 
[2023-09-18], 广州市规划和自然资源局花都区分局关于《广州市花都区预留城乡建设用地规 ... 
[2023-09-12], 关于《广州市花都区2023年度土地征收成片开发方案(第二批）》的公示 ... 
[2023-09-04], 广州市规划和自然资源局花都区分局关于《广州市花都区预留城乡建设用地规 ... 
